INFO  | 04/05/2026 12:44:32 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -209.34 (eps: 0.173)
INFO  | 04/05/2026 12:44:57 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -184.52 (eps: 0.135)
INFO  | 04/05/2026 12:45:20 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -165.44 (eps: 0.105)
INFO  | 04/05/2026 12:45:39 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -143.52 (eps: 0.082)
INFO  | 04/05/2026 12:45:39 PM | File rl_runner.py         | Line 125   | [Seed 49] Done. Final avg(last 50): -143.52
INFO  | 04/05/2026 12:45:39 PM | File rl_runner.py         | Line 121   | [Seed 50] (9/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:45:40 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -500.00 (eps: 0.995)
INFO  | 04/05/2026 12:45:42 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -500.00 (eps: 0.990)
INFO  | 04/05/2026 12:45:43 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -500.00 (eps: 0.985)
INFO  | 04/05/2026 12:45:44 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -485.50 (eps: 0.980)
INFO  | 04/05/2026 12:45:45 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -488.40 (eps: 0.975)
INFO  | 04/05/2026 12:46:41 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -498.84 (eps: 0.778)
INFO  | 04/05/2026 12:47:38 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -475.98 (eps: 0.606)
INFO  | 04/05/2026 12:48:24 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -362.42 (eps: 0.471)
INFO  | 04/05/2026 12:48:58 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -261.56 (eps: 0.367)
INFO  | 04/05/2026 12:49:40 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -323.88 (eps: 0.286)
INFO  | 04/05/2026 12:50:09 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -214.92 (eps: 0.222)
INFO  | 04/05/2026 12:50:35 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -195.70 (eps: 0.173)
INFO  | 04/05/2026 12:50:59 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -169.12 (eps: 0.135)
INFO  | 04/05/2026 12:51:21 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -162.52 (eps: 0.105)
INFO  | 04/05/2026 12:51:45 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -178.34 (eps: 0.082)
INFO  | 04/05/2026 12:51:45 PM | File rl_runner.py         | Line 125   | [Seed 50] Done. Final avg(last 50): -178.34
INFO  | 04/05/2026 12:51:45 PM | File rl_runner.py         | Line 121   | [Seed 51] (10/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:51:46 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -500.00 (eps: 0.995)
INFO  | 04/05/2026 12:51:48 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -500.00 (eps: 0.990)
INFO  | 04/05/2026 12:51:49 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -500.00 (eps: 0.985)
INFO  | 04/05/2026 12:51:50 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -500.00 (eps: 0.980)
INFO  | 04/05/2026 12:51:51 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -500.00 (eps: 0.975)
INFO  | 04/05/2026 12:52:47 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -496.28 (eps: 0.778)
INFO  | 04/05/2026 12:53:44 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -474.12 (eps: 0.606)
INFO  | 04/05/2026 12:54:32 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -394.20 (eps: 0.471)
INFO  | 04/05/2026 12:55:13 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -333.00 (eps: 0.367)
INFO  | 04/05/2026 12:55:47 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -268.04 (eps: 0.286)
INFO  | 04/05/2026 12:56:17 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -218.62 (eps: 0.222)
INFO  | 04/05/2026 12:56:40 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -167.68 (eps: 0.173)
INFO  | 04/05/2026 12:57:01 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -154.18 (eps: 0.135)
INFO  | 04/05/2026 12:57:27 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -190.52 (eps: 0.105)
INFO  | 04/05/2026 12:57:49 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -163.36 (eps: 0.082)
INFO  | 04/05/2026 12:57:49 PM | File rl_runner.py         | Line 125   | [Seed 51] Done. Final avg(last 50): -163.36
INFO  | 04/05/2026 12:57:49 PM | File rl_runner.py         | Line 141   | All seeds done. Results saved to exp/dqn_acrobot_relu_20260405_115323_4470eb80/rl_results.p
INFO  | 04/05/2026 12:57:49 PM | File run.py               | Line 283   | Experiment completed!
