INFO  | 04/05/2026 12:19:44 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 11/30: Acc = 0.9864
INFO  | 04/05/2026 12:19:56 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 12/30: Acc = 0.9844
INFO  | 04/05/2026 12:20:08 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 13/30: Acc = 0.9875
INFO  | 04/05/2026 12:20:20 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 14/30: Acc = 0.9870
INFO  | 04/05/2026 12:20:31 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 15/30: Acc = 0.9864
INFO  | 04/05/2026 12:20:43 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 16/30: Acc = 0.9873
INFO  | 04/05/2026 12:20:55 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 17/30: Acc = 0.9862
INFO  | 04/05/2026 12:21:07 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 18/30: Acc = 0.9883
INFO  | 04/05/2026 12:21:19 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 19/30: Acc = 0.9873
INFO  | 04/05/2026 12:21:31 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 20/30: Acc = 0.9888
INFO  | 04/05/2026 12:21:43 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 21/30: Acc = 0.9890
INFO  | 04/05/2026 12:21:55 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 22/30: Acc = 0.9883
INFO  | 04/05/2026 12:22:06 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 23/30: Acc = 0.9890
INFO  | 04/05/2026 12:22:18 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 24/30: Acc = 0.9887
INFO  | 04/05/2026 12:22:30 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 25/30: Acc = 0.9885
INFO  | 04/05/2026 12:22:42 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 26/30: Acc = 0.9894
INFO  | 04/05/2026 12:22:54 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 27/30: Acc = 0.9892
INFO  | 04/05/2026 12:23:06 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 28/30: Acc = 0.9891
INFO  | 04/05/2026 12:23:18 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 29/30: Acc = 0.9892
INFO  | 04/05/2026 12:23:30 PM | File mixer_runner.py      | Line 237   |   Seed 46 Ep 30/30: Acc = 0.9892
INFO  | 04/05/2026 12:23:30 PM | File mixer_runner.py      | Line 169   | [Seed 46] Done. Best Acc: 0.9894
INFO  | 04/05/2026 12:23:30 PM | File mixer_runner.py      | Line 185   | All seeds done. Best mean acc: 0.9901
INFO  | 04/05/2026 12:23:30 PM | File run.py               | Line 283   | Experiment completed!
