INFO  | 04/05/2026 12:18:50 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 12:19:11 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 12:19:34 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 12:19:59 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 12:20:23 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 12:20:48 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 12:21:13 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -200.00 (eps: 0.222)
INFO  | 04/05/2026 12:21:38 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -200.00 (eps: 0.173)
INFO  | 04/05/2026 12:22:03 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -199.08 (eps: 0.135)
INFO  | 04/05/2026 12:22:27 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -194.40 (eps: 0.105)
INFO  | 04/05/2026 12:22:51 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -190.94 (eps: 0.082)
INFO  | 04/05/2026 12:22:51 PM | File rl_runner.py         | Line 125   | [Seed 48] Done. Final avg(last 50): -190.94
INFO  | 04/05/2026 12:22:51 PM | File rl_runner.py         | Line 121   | [Seed 49] (8/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:22:52 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 12:22:52 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 12:22:53 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 12:22:53 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 12:22:53 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 12:23:14 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 12:23:37 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 12:24:01 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 12:24:26 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 12:24:50 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -199.92 (eps: 0.286)
INFO  | 04/05/2026 12:25:15 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -200.00 (eps: 0.222)
INFO  | 04/05/2026 12:25:40 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -200.00 (eps: 0.173)
INFO  | 04/05/2026 12:26:05 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -197.40 (eps: 0.135)
INFO  | 04/05/2026 12:26:27 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -170.12 (eps: 0.105)
INFO  | 04/05/2026 12:26:50 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -182.92 (eps: 0.082)
INFO  | 04/05/2026 12:26:50 PM | File rl_runner.py         | Line 125   | [Seed 49] Done. Final avg(last 50): -182.92
