exp_name,task_type,model,dataset,metric,selection,config_signature,audit_status,raw_row_count,seed_count,seeds,values,mean,sample_sd,population_sd,min,max,identical_duplicate_rows,conflicting_seed_count,notes
mlp_cifar_scale_relu_w64,classification,BaselineMLP,cifar10,test_accuracy,reported_scalar,17102657afa4f21a24380080f8a52faf887d539e0f83ffbb88978e6e74687668,reportable,5,5,1234;42;43;44;45,0.4591;0.4573;0.4584;0.4546;0.4589,0.45766,0.00184743064822,0.00165239220526,0.4546,0.4591,0,0,
mlp_diabetes_2arg,classification,XorNeuronMLP,diabetes,test_mse,reported_scalar,e9184c25011b3ddf69ccc5df7751328306922b9c505136e1df08587311d858f9,reportable,3,3,1234;42;43,0.595905125141;0.445994019508;0.475094139576,0.505664428075,0.0794936588805,0.0649063006813,0.445994019508,0.595905125141,0,0,
mlp_diabetes_relu,classification,BaselineMLP,diabetes,test_mse,reported_scalar,bdc69057e0f59a767108a571e1ff09fc434b5fbd72f35bf5f2d728dacfdaab6c,reportable,3,3,1234;42;43,0.486317187548;0.473088085651;0.569405019283,0.509603430827,0.0522103894893,0.0426296045069,0.473088085651,0.569405019283,0,0,
mlp_fmnist_1arg,classification,XorNeuronMLP,fashionmnist,test_accuracy,reported_scalar,e9fca48164133e9ecf44af489960c0ce47d638e3bb3b079d04f8c6e40b9a08c4,reportable,1,1,1234,0.8927,0.8927,,0,0.8927,0.8927,0,0,
mlp_fmnist_2arg,classification,XorNeuronMLP,fashionmnist,test_accuracy,reported_scalar,e80941782a81bc91c4e1d7e28eb77596deabef265c2d7323c4af7ac509b78b2b,reportable,1,1,1234,0.8853,0.8853,,0,0.8853,0.8853,0,0,
mlp_fmnist_relu,classification,BaselineMLP,fashionmnist,test_accuracy,reported_scalar,ebc237ca752b25b53f1cf09b6918e7f012a330a36c3a31f160ad5e3655d65ba5,reportable,1,1,1234,0.8668,0.8668,,0,0.8668,0.8668,0,0,
mlp_housing_2arg,classification,XorNeuronMLP,housing,test_mse,reported_scalar,835e4f7c89abfe4c63f32e560951ee8d88ab946fdff66a8080ccbbc07bbd9f5f,reportable,5,5,1234;42;43;44;45,0.209577202977;0.197699250393;0.191658142174;0.189573856908;0.190693777127,0.195840445916,0.00829764500713,0.00742163931564,0.189573856908,0.209577202977,0,0,
mlp_housing_relu,classification,BaselineMLP,housing,test_mse,reported_scalar,2083d27166d1ad5f95cc34ed9cbaba515bf0fb79daa2ce77e770c0f86bf30f37,reportable,5,5,1234;42;43;44;45,0.218529431438;0.202905286659;0.202788546992;0.19551836448;0.210167743208,0.205981874555,0.00871938153208,0.007798851931,0.19551836448,0.218529431438,0,0,
mlp_housing_scale_2arg_w120,classification,XorNeuronMLP,housing,test_mse,reported_scalar,69c6682712ed7c3bb5c15ce964d7bea02bbbb29cc1a6d9669dab5c8d93521ebe,reportable,3,3,1234;42;43,0.203631464204;0.194216419156;0.192720116542,0.196855999967,0.00591522756088,0.00482976307887,0.192720116542,0.203631464204,0,0,
mlp_housing_scale_2arg_w256,classification,XorNeuronMLP,housing,test_mse,reported_scalar,a97e89a38ddd05c6fb4a0496f481d7122602874f2013691829d23a190a9839c0,reportable,3,3,1234;42;43,0.202338873568;0.199520485793;0.199161330678,0.200340230013,0.00174016669964,0.0014208401605,0.199161330678,0.202338873568,0,0,
